"Nom_Classe";"Nb_Methodes";"Nb_Attributs";"Lignes_de_Code";"WMC";"DIT";"CBO";"LCOM"
"CLIController";"16";"1";"310";"44";"0";"6";"0"
"LRUCache";"6";"2";"31";"8";"0";"1";"0"
"BackupService";"17";"6";"246";"36";"1";"2";"40"
"InvertedIndex";"4";"1";"28";"6";"0";"1";"0"
"Tag";"6";"1";"28";"7";"0";"0";"4"
"NoteRepository";"9";"1";"43";"10";"1";"3";"0"
"JsonStorage";"6";"1";"60";"11";"1";"3";"4"
"Attachment";"5";"9";"86";"11";"1";"2";"6"
"AttachmentService";"13";"3";"188";"26";"1";"3";"14"
"Note";"18";"6";"110";"22";"1";"6";"56"
"SearchEngine";"9";"5";"148";"13";"1";"4";"4"
"NoteService";"20";"6";"205";"33";"0";"9";"0"
"App";"3";"2";"27";"4";"0";"4";"1"
"NoteFactory";"3";"0";"18";"3";"0";"2";"3"
